split,model,model_label,horizon,count,mae_mwh,rmse_mwh,mape_pct,smape_pct,bias_mwh,r_squared
test,recursive_xgboost,Recursive XGBoost,18,184,1429.2746582031,1817.5152559490,4.9654786020,5.1049926364,-1088.6165187670,0.7285307821
test,recursive_xgboost,Recursive XGBoost,19,184,1777.3644701087,2133.9128019027,6.0889009533,6.3289040360,-1542.5603558084,0.6164504782
test,recursive_xgboost,Recursive XGBoost,20,184,1742.0634765625,2129.4927111899,6.0317615480,6.2690654771,-1422.0004033628,0.6359169560
test,recursive_xgboost,Recursive XGBoost,21,184,1569.9883237092,1989.0727788360,5.4895665620,5.6780036688,-1038.6792416780,0.7261156064
test,recursive_xgboost,Recursive XGBoost,22,184,1571.4360563859,1996.8817794275,5.5430171159,5.6662668763,-590.5595703125,0.7655720465
test,recursive_xgboost,Recursive XGBoost,23,184,1758.6231424083,2203.3099050553,6.1869422773,6.2183539062,-139.3200471298,0.7691900710
test,recursive_xgboost,Recursive XGBoost,24,184,2001.5709918478,2530.6297611459,6.9678809881,6.8815640810,245.2133576766,0.7603512535
test,weekly_seasonal_naive,Weekly seasonal naive,1,184,3962.6521739130,5434.4654880958,12.9568033992,12.5596064253,290.0543478261,0.1406304832
test,weekly_seasonal_naive,Weekly seasonal naive,2,184,3829.7391304348,5371.2066381773,12.0517078582,11.6175118000,393.9456521739,0.3314340541
test,weekly_seasonal_naive,Weekly seasonal naive,3,184,3626.2500000000,5151.7405522203,10.9534723081,10.5496859444,433.9673913043,0.3832549128
test,weekly_seasonal_naive,Weekly seasonal naive,4,184,3342.6467391304,4719.7040673855,9.8933355081,9.5635048768,403.8641304348,0.3948085144
test,weekly_seasonal_naive,Weekly seasonal naive,5,184,3007.6956521739,4230.1655404960,9.0038806371,8.7297799919,395.5652173913,0.4578218395
test,weekly_seasonal_naive,Weekly seasonal naive,6,184,2720.9076086957,3834.1521843592,8.4021024312,8.1602434373,372.1576086957,0.4967154338
test,weekly_seasonal_naive,Weekly seasonal naive,7,184,2458.0543478261,3450.5521911591,7.8670019487,7.6572752854,350.4782608696,0.5121573324
test,weekly_seasonal_naive,Weekly seasonal naive,8,184,2154.0108695652,2985.7707383813,7.3351677779,7.1661876359,279.6847826087,0.4758801949
test,weekly_seasonal_naive,Weekly seasonal naive,9,184,1891.7663043478,2560.7351663910,6.8693014615,6.7449694110,235.6032608696,0.4624801636
test,weekly_seasonal_naive,Weekly seasonal naive,10,184,1628.2228260870,2250.6592307202,6.1996489662,6.0938988936,206.1793478261,0.4589288246
test,weekly_seasonal_naive,Weekly seasonal naive,11,184,1518.9021739130,2091.9768319026,6.0340574232,5.9508006463,172.3152173913,0.3858969035
test,weekly_seasonal_naive,Weekly seasonal naive,12,184,1482.8206521739,2011.9539186204,6.1319272552,6.0558624611,156.6684782609,0.3190251326
test,weekly_seasonal_naive,Weekly seasonal naive,13,184,1439.0380434783,1922.2858802568,6.1025261021,6.0306624262,146.9076086957,0.3229982496
test,weekly_seasonal_naive,Weekly seasonal naive,14,184,1351.5597826087,1810.8304019331,5.7773123280,5.7198034693,150.3858695652,0.3699111823
test,weekly_seasonal_naive,Weekly seasonal naive,15,184,1224.4347826087,1616.3203749096,5.1934796728,5.1431005643,163.7826086957,0.5020818826
test,weekly_seasonal_naive,Weekly seasonal naive,16,184,1260.9510869565,1667.3988610877,5.1733911982,5.1160874354,174.3097826087,0.5248527756
test,weekly_seasonal_naive,Weekly seasonal naive,17,184,1609.0597826087,2072.6787002730,6.1716138636,6.0874052300,224.4619565217,0.4957405823
test,weekly_seasonal_naive,Weekly seasonal naive,18,184,1907.3478260870,2489.4269857522,6.8363999970,6.7109088495,261.2173913043,0.4907122292
test,weekly_seasonal_naive,Weekly seasonal naive,19,184,2130.7663043478,2737.3167806465,7.4144325680,7.3047898029,207.3423913043,0.3688708675
test,weekly_seasonal_naive,Weekly seasonal naive,20,184,2330.6576086957,3082.3557311350,8.0671536809,7.9441580419,157.5815217391,0.2371947821
test,weekly_seasonal_naive,Weekly seasonal naive,21,184,2533.7826086957,3442.3008072837,8.8142310060,8.6829690685,149.2717391304,0.1797172558
test,weekly_seasonal_naive,Weekly seasonal naive,22,184,2841.5434782609,3902.8304945981,9.8388579508,9.6708274531,157.5000000000,0.1045031404
test,weekly_seasonal_naive,Weekly seasonal naive,23,184,3201.5434782609,4464.4778359654,10.9867441522,10.7593226696,173.5760869565,0.0523572242
test,weekly_seasonal_naive,Weekly seasonal naive,24,184,3637.2771739130,5059.0900179561,12.2483642763,11.9213658091,221.2771739130,0.0422266398
validation,daily_seasonal_naive,Daily seasonal naive,1,182,1958.5329670330,2432.5149096592,8.9997926635,9.0100109920,-35.4560439560,0.5706039086
validation,daily_seasonal_naive,Daily seasonal naive,2,182,1794.3021978022,2220.8557713510,8.0125377466,8.0101565998,-47.0604395604,0.6652194200
validation,daily_seasonal_naive,Daily seasonal naive,3,182,1516.8351648352,1874.7167229234,6.3519183463,6.3588665159,-50.1428571429,0.7538560200
validation,daily_seasonal_naive,Daily seasonal naive,4,182,1211.4670329670,1567.3160599790,4.7016130729,4.7167553090,-46.8186813187,0.8012129763
validation,daily_seasonal_naive,Daily seasonal naive,5,182,1047.2362637363,1389.5664178694,3.8965766745,3.9134997131,-47.1923076923,0.7892436525
validation,daily_seasonal_naive,Daily seasonal naive,6,182,930.0054945055,1231.7121225137,3.4609405960,3.4744770509,-43.5329670330,0.8044727575
validation,daily_seasonal_naive,Daily seasonal naive,7,182,821.5494505495,1093.8204646061,3.1229200260,3.1341287778,-38.6483516484,0.8309145713
validation,daily_seasonal_naive,Daily seasonal naive,8,182,707.7142857143,924.3405490129,2.8214025671,2.8309667826,-30.4945054945,0.8430731016
validation,daily_seasonal_naive,Daily seasonal naive,9,182,640.7802197802,829.7800913495,2.7134548605,2.7190646661,-23.5604395604,0.8385688655
validation,daily_seasonal_naive,Daily seasonal naive,10,182,580.5000000000,735.2861258131,2.5752794666,2.5814039409,-22.9615384615,0.8283992509
validation,daily_seasonal_naive,Daily seasonal naive,11,182,520.1703296703,663.2715494815,2.3883011373,2.3910864930,-18.5659340659,0.8133883654
validation,daily_seasonal_naive,Daily seasonal naive,12,182,495.3956043956,635.2895333695,2.3393870945,2.3442493232,-16.5824175824,0.7875794589
validation,daily_seasonal_naive,Daily seasonal naive,13,182,487.1373626374,623.4343598960,2.3402541043,2.3456253769,-16.8956043956,0.7597257500
validation,daily_seasonal_naive,Daily seasonal naive,14,182,528.5109890110,661.0010930815,2.5564188287,2.5574781587,-17.0934065934,0.7027658747
validation,daily_seasonal_naive,Daily seasonal naive,15,182,688.5659340659,891.6926890181,3.2707886688,3.2743222787,-15.3901098901,0.4946318144
validation,daily_seasonal_naive,Daily seasonal naive,16,182,999.8461538462,1389.9071753336,4.5482793664,4.5685830085,-15.9230769231,0.1877306820
validation,daily_seasonal_naive,Daily seasonal naive,17,182,1368.7252747253,1896.1938163097,5.9266480367,5.9640513766,-25.0329670330,0.1054800155
validation,daily_seasonal_naive,Daily seasonal naive,18,182,1474.8791208791,2074.4071574657,6.2564882962,6.2847719226,-32.7582417582,0.2665546453
validation,daily_seasonal_naive,Daily seasonal naive,19,182,1535.4560439560,2087.6085626834,6.6431762330,6.6570363463,-28.4780219780,0.3830100947
validation,daily_seasonal_naive,Daily seasonal naive,20,182,1597.6703296703,2177.3286006400,7.0360421381,7.0418793054,-18.5494505495,0.3888147430
validation,daily_seasonal_naive,Daily seasonal naive,21,182,1679.9230769231,2216.3468209577,7.5531219025,7.5395480146,-13.2857142857,0.4033008733
validation,daily_seasonal_naive,Daily seasonal naive,22,182,1798.4890109890,2366.1441985077,8.2359075829,8.2013065826,-12.1593406593,0.3982909670
validation,daily_seasonal_naive,Daily seasonal naive,23,182,1898.5934065934,2428.8078634101,8.7717146771,8.7358510690,-14.7802197802,0.4065901529
validation,daily_seasonal_naive,Daily seasonal naive,24,182,1966.2527472527,2465.5160795382,9.1131023538,9.0912087223,-23.1428571429,0.4800686979
validation,flat_persistence,Flat persistence,1,182,497.6428571429,651.5739734344,2.1908387575,2.1994063705,-153.3791208791,0.9691912185
validation,flat_persistence,Flat persistence,2,182,1004.9615384615,1335.2753574525,4.2441604825,4.3717175830,-712.2692307692,0.8789788667
validation,flat_persistence,Flat persistence,3,182,2159.6703296703,2557.2227229839,8.8212882791,9.3810978890,-2116.4395604396,0.5420110273
validation,flat_persistence,Flat persistence,4,182,3765.8956043956,4040.7118177996,14.6590158545,16.0184407860,-3760.6098901099,-0.3212670953
