split,horizon,metric,unit,count,mae_mwh,rmse_mwh,bias_mwh,mape_pct,mape_count,smape_pct,smape_count
validation,19,renewable_combined,MWh,182,1592.6868131868,2150.5317039956,-69.7087912088,16.3770544137,182,15.9545494178,182
validation,19,residual_demand,MWh,182,2012.7768930288,2568.9780393882,-268.7006353022,20.1470746394,182,20.5065911059,182
validation,19,renewable_share,percentage_points,182,7.5634628469,9.8559633415,0.5108966324,18.1219048886,182,17.2922828029,182
validation,20,renewable_combined,MWh,182,1551.4230769231,2106.9324832588,-64.9065934066,13.9792663090,182,13.6774165896,182
validation,20,residual_demand,MWh,182,2012.1131632040,2655.9927003368,-312.2845016312,23.6156682241,182,24.8135595611,182
validation,20,renewable_share,percentage_points,182,7.6660292180,10.1098803029,0.8137224794,15.8958197270,182,15.1538354923,182
validation,21,renewable_combined,MWh,182,1517.2582417582,2074.2122150799,-64.5329670330,12.4856340174,182,12.3757815030,182
validation,21,residual_demand,MWh,182,2171.6288418613,2795.4935295913,-390.1984460852,29.0621470839,182,31.9161708754,182
validation,21,renewable_share,percentage_points,182,8.3194688960,10.7723921400,1.1934721276,15.3400017453,182,14.7585370874,182
validation,22,renewable_combined,MWh,182,1624.0769230769,2157.9967587995,-65.9450549451,13.1499676300,182,13.0043041667,182
validation,22,residual_demand,MWh,182,2243.2696975876,2971.9157861147,-296.7559613238,33.6622946550,182,36.3262396959,182
validation,22,renewable_share,percentage_points,182,8.8286024883,11.5272512671,0.9792369387,15.8045401430,182,15.1989315500,182
validation,23,renewable_combined,MWh,182,1668.8626373626,2230.4492291322,-70.4890109890,13.7637864428,182,13.4837090900,182
validation,23,residual_demand,MWh,182,2370.4547991071,3134.0468526197,-139.0761504121,38.6986657660,182,38.9572223099,182
validation,23,renewable_share,percentage_points,182,9.1954776107,11.9922330377,0.5569523133,16.5406876714,182,15.8786604762,182
validation,24,renewable_combined,MWh,182,1819.3021978022,2393.4560475698,-74.4890109890,15.4302644439,182,15.1046854239,182
validation,24,residual_demand,MWh,182,2548.7328940591,3375.3091433153,81.6617445055,40.9403215222,182,39.0980493124,182
validation,24,renewable_share,percentage_points,182,9.7066798341,12.7049513077,-0.2274266026,18.1372968243,182,17.4571717989,182
